Description,Calories,Protein,Fat,Carbs
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,3.8,0.9,19.9
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,3.4,0.2,9.9
"CREAM,HALF & HALF,FAT FREE",59.0,2.6,1.4,9.0
REDDI WIP FAT FREE WHIPPED TOPPING,149.0,3.0,5.0,25.0
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78.0,2.99,1.9,12.13
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105.0,4.86,1.41,18.6
"CHEESE,PARMESAN,DRY GRATED,RED FAT",265.0,20.0,20.0,1.37
"CREAM SUB,FLAV,LIQ",251.0,0.69,13.5,35.07
"CREAM SUB,FLAV,PDR",498.0,0.68,21.47,75.42
"CHEESE,PROVOLONE,RED FAT",274.0,24.7,17.6,3.5
"CHEESE,MEXICAN,BLEND,RED FAT",282.0,24.69,19.4,3.41
"EGG MIX,USDA CMDTY",555.0,35.6,34.5,23.97
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61.0,3.15,3.27,4.78
"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496.0,26.32,26.71,38.42
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135.0,6.81,7.56,10.04
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240.0,17.6,14.1,10.6
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99.0,3.98,1.15,18.64
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102.0,4.37,1.08,19.05
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95.0,4.4,0.2,19.0
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105.0,4.86,1.41,18.6
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85.0,4.93,1.25,13.8
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43.0,3.86,0.18,7.5
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112.0,3.53,0.0,23.53
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411.0,45.71,17.14,18.5
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396.0,50.0,12.0,22.0
DULCE DE LECHE,315.0,6.84,7.35,55.35
"EGG SUB,LIQ OR FRZ,FAT FREE",48.0,10.0,0.0,2.0
"CHEESE,DRY WHITE,QUESO SECO",325.0,24.51,24.35,2.04
"CHEESE,FRSH,QUESO FRESCO",299.0,18.09,23.82,2.98
"CHEESE,WHITE,QUESO BLANCO",310.0,20.38,24.31,2.53
"MILK,BTTRMLK,FLUID,WHL",62.0,3.21,3.31,4.88
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86.0,4.93,1.25,13.8
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104.0,4.4,0.8,19.7
"ICE CRM,SOFT SERVE,CHOC",222.0,4.1,13.0,22.2
"ICE CRM,BAR OR STK,CHOC COVERED",331.0,4.1,24.1,24.5
ICE CRM SNDWCH,237.0,4.29,8.57,37.14
ICE CRM COOKIE SNDWCH,240.0,3.7,7.4,39.6
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354.0,5.21,21.88,34.38
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186.0,4.29,3.04,39.64
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200.0,5.71,2.86,42.86
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129.0,4.41,0.0,27.94
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147.0,4.41,1.47,33.09
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88.0,4.4,3.08,11.88
"CHEESE,MEXICAN BLEND",358.0,23.54,28.51,1.75
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310.0,18.18,22.63,8.52
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371.0,18.13,31.79,3.7
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330.0,16.86,25.63,8.56
"EGG,WHL,RAW,FRZ,SALTED",138.0,10.97,10.07,0.83
"ALLSPICE,GROUND",263.0,6.09,8.69,72.12
ANISE SEED,337.0,17.6,15.9,50.02
"SPICES,BASIL,DRIED",233.0,22.98,4.07,47.75
"SPICES,BAY LEAF",313.0,7.61,8.36,74.97
CARAWAY SEED,333.0,19.77,14.59,49.9
"SPICES,CARDAMOM",311.0,10.76,6.7,68.47
CELERY SEED,392.0,18.07,25.27,41.35
"CHERVIL,DRIED",237.0,23.2,3.9,49.1
CHILI POWDER,282.0,13.46,14.28,49.7
"CINNAMON,GROUND",247.0,3.99,1.24,80.59
"CLOVES,GROUND",274.0,5.97,13.0,65.53
"CORIANDER LEAF,DRIED",279.0,21.93,4.78,52.1
CORIANDER SEED,298.0,12.37,17.77,54.99
CUMIN SEED,375.0,17.81,22.27,44.24
CURRY POWDER,325.0,12.66,13.81,58.15
DILL SEED,305.0,15.98,14.54,55.17
"DILL WEED,DRIED",253.0,19.96,4.36,55.82
FENNEL SEED,345.0,15.8,14.87,52.29
FENUGREEK SEED,323.0,23.0,6.41,58.35
GARLIC POWDER,331.0,16.55,0.73,72.73
"GINGER,GROUND",335.0,8.98,4.24,71.62
"MACE,GROUND",475.0,6.71,32.38,50.5
"MARJORAM,DRIED",271.0,12.66,7.04,60.56
"SPICES,MUSTARD SD,GROUND",508.0,26.08,36.24,28.09
"NUTMEG,GROUND",525.0,5.84,36.31,49.29
ONION POWDER,341.0,10.41,1.04,79.12
"SPICES,OREGANO,DRIED",265.0,9.0,4.28,68.92
PAPRIKA,282.0,14.14,12.89,53.99
"PARSLEY,DRIED",292.0,26.63,5.48,50.64
"PEPPER,BLACK",251.0,10.39,3.26,63.95
"PEPPER,RED OR CAYENNE",318.0,12.01,17.27,56.63
"PEPPER,WHITE",296.0,10.4,2.12,68.61
POPPY SEED,525.0,17.99,41.56,28.13
POULTRY SEASONING,307.0,9.59,7.53,65.59
PUMPKIN PIE SPICE,342.0,5.76,12.6,69.28
"ROSEMARY,DRIED",331.0,4.88,15.22,64.06
SAFFRON,310.0,11.43,5.85,65.37
"SAGE,GROUND",315.0,10.63,12.75,60.73
"SAVORY,GROUND",272.0,6.73,5.91,68.73
"SPICES,TARRAGON,DRIED",295.0,22.77,7.24,50.22
"SPICES,THYME,DRIED",276.0,9.11,7.43,63.94
"TURMERIC,GROUND",354.0,7.83,9.88,64.93
"BASIL,FRESH",23.0,3.15,0.64,2.65
"DILL WEED,FRSH",43.0,3.46,1.12,7.02
"MUSTARD,PREPARED,YELLOW",67.0,4.37,4.01,5.33
"SALT,TABLE",0.0,0.0,0.0,0.0
"VINEGAR,CIDER",21.0,0.0,0.0,0.93
"THYME,FRSH",101.0,5.56,1.68,24.45
VANILLA EXTRACT,288.0,0.06,0.06,12.65
"VANILLA EXTRACT,IMITN,ALCOHOL",237.0,0.05,0.0,2.41
"VANILLA EXTRACT,IMITN,NO ALCOHOL",56.0,0.03,0.0,14.4
"VINEGAR,DISTILLED",18.0,0.0,0.0,0.04
"CAPERS,CANNED",23.0,2.36,0.86,4.89
"HORSERADISH,PREPARED",48.0,1.18,0.69,11.29
"ROSEMARY,FRESH",131.0,3.31,5.86,20.7
"PEPPERMINT,FRESH",70.0,3.75,0.94,14.89
"SPEARMINT,FRESH",44.0,3.29,0.73,8.41
"SPEARMINT,DRIED",285.0,19.93,6.03,52.04
"VINEGAR,RED WINE",19.0,0.04,0.0,0.27
"VINEGAR,BALSAMIC",88.0,0.49,0.0,17.03
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188.0,0.0,0.0,56.29
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330.0,0.82,2.24,76.61
ZWIEBACK,426.0,10.1,9.7,74.2
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483.0,16.5,22.0,54.8
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88.0,3.33,4.48,8.57
"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",514.0,12.5,27.0,56.0
"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",99.0,2.86,4.77,11.15
"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99.0,2.8,4.7,11.28
"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64.0,1.78,3.63,7.18
"FAT,BEEF TALLOW",902.0,0.0,100.0,0.0
LARD,902.0,0.0,100.0,0.0
"SALAD DRSNG,KRAFT MAYO LT MAYO",334.0,0.6,32.9,8.5
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",70.0,0.2,2.7,12.4
"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG",84.0,0.2,2.7,15.5
"SALAD DRSNG,RUSSIAN DRSNG",355.0,0.69,26.18,31.9
"SALAD DRSNG,SESAME SD DRSNG,REG",443.0,3.1,45.2,8.6
"SALAD DRSNG,1000 ISLAND,COMM,REG",370.0,1.09,35.06,14.64
"SALAD DRSNG,MAYO TYPE,REG,W/SALT",390.0,0.9,33.4,23.9
"SALAD DRSNG,FRENCH DRSNG,RED FAT",222.0,0.58,11.52,31.22
"SALAD DRSNG,ITALIAN DRSNG,RED FAT",75.0,0.47,6.38,4.57
"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",141.0,0.5,4.0,27.6
"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",195.0,0.83,11.32,24.06
"SALAD DRSNG,MAYO,SOYBN OIL,W/SALT",718.0,0.9,79.39,3.16
"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",717.0,1.1,79.4,2.7
"SALAD DRSNG,MAYO,IMITN,SOYBN",232.0,0.3,19.2,16.0
"SALAD DRSNG,MAYO,IMITN,MILK CRM",97.0,2.1,5.1,11.1
"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL",482.0,0.1,47.7,15.8
"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389.0,0.9,34.0,22.4
"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",884.0,0.0,100.0,0.0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",884.0,0.0,100.0,0.0
"OIL,RICE BRAN",884.0,0.0,100.0,0.0
"OIL,WHEAT GERM",884.0,0.0,100.0,0.0
"OIL,PNUT,SALAD OR COOKING",884.0,0.0,100.0,0.0
"OIL,SOYBN,SALAD OR COOKING",884.0,0.0,100.0,0.0
"OIL,COCNT",862.0,0.0,100.0,0.0
"OIL,OLIVE,SALAD OR COOKING",884.0,0.0,100.0,0.0
"OIL,PALM",884.0,0.0,100.0,0.0
"OIL,SESAME,SALAD OR COOKING",884.0,0.0,100.0,0.0
"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",884.0,0.0,100.0,0.0
"MARGARINE,REG,HARD,SOYBN (HYDR)",719.0,0.9,80.5,0.9
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",291.0,0.38,28.37,10.43
"SALAD DRSNG,FRENCH DRSNG,COMM,REG",457.0,0.77,44.81,15.58
"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",339.0,0.51,37.77,0.66
"SALAD DRSNG,FRENCH,HOME RECIPE",631.0,0.1,70.2,3.4
"SALAD DRSNG,HOME RECIPE,CKD",157.0,4.2,9.5,14.9
"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",449.0,0.0,50.1,2.5
"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT",459.0,0.77,44.81,15.58
"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT",233.0,0.58,13.46,29.28
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",292.0,0.38,28.37,10.43
"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",76.0,0.47,6.38,4.57
"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT",717.0,1.1,79.4,2.7
"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE",631.0,0.1,70.2,3.4
"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",132.0,0.2,0.27,32.14
"OIL,COCOA BUTTER",884.0,0.0,100.0,0.0
"OIL,CTTNSD,SALAD OR COOKING",884.0,0.0,100.0,0.0
"OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)",884.0,0.0,100.0,0.0
"OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)",884.0,0.0,100.0,0.0
"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",884.0,0.0,100.0,0.0
